,id,permalink,username,text,date,vaccino,location
0,1376922859247972352,https://twitter.com/AtticumFloreat/status/1376922859247972352,AtticumFloreat,A neuroscientist writes on AstraZeneca fears https://t.co/XYPTJXtJ0a,2021-03-30,AstraZeneca,Russia
1,1376889467613642756,https://twitter.com/feaband/status/1376889467613642756,feaband,"Happy to buy a course of #astrazeneca for my own money from the @EU_Commission and take the ""risk"". @jensspahn and @dil_kal can you create such an option if you can't do the math yourselves?",2021-03-30,AstraZeneca,Russia
2,1376636938195714059,https://twitter.com/therussophile/status/1376636938195714059,therussophile,"Nordic Countries Extend Astra Zeneca Vaccine Suspension, While Sputnik V Makes Inroads Elsewhere https://t.co/rI3TAkF1lr",2021-03-29,AstraZeneca,Russia
3,1376436614277304323,https://twitter.com/tradegovukRUS/status/1376436614277304323,tradegovukRUS,"Don’t miss the upcoming webinar “Digital Technologies in British and Russian Health: E-cardiology” on March 30, 2021 from 13.00-15:40 (UK time). The webinar is organised with the support of @AstraZeneca, @GEHealthcare and Russian Society of Cardiology.👇
https://t.co/Gb4afalAbt",2021-03-29,AstraZeneca,Russia
