,id,permalink,username,text,date,vaccino,location
108,1376948391670845444,https://twitter.com/TraceyS57312988/status/1376948391670845444,TraceyS57312988,".... Strange ... her in Germany we have 29 cases of Brain bleeding after Astra Zeneca.. 2 men , 27 women .. all young ! 
How come there are apparently no cases in England ? .... strange .. I smell a massive cover up !
As from today only people over 50 can have astra ....",2021-03-30,AstraZeneca,Europa
109,1376944642772582400,https://twitter.com/Macius52/status/1376944642772582400,Macius52,Covid: German regions restrict use of AstraZeneca jab https://t.co/Xkonq8XJnr,2021-03-30,AstraZeneca,Europa
110,1376944203041796101,https://twitter.com/dox_trader/status/1376944203041796101,dox_trader,Off-topic: No #AstraZeneca gets in my vaines,2021-03-30,AstraZeneca,Europa
111,1376942499273527303,https://twitter.com/dianusadianuit/status/1376942499273527303,dianusadianuit,Con ustedes AstraZeneca https://t.co/3YT84o0sP1,2021-03-30,AstraZeneca,Europa
112,1376940112026697728,https://twitter.com/Xando0/status/1376940112026697728,Xando0,Give me my AstraZeneca shot Merkel,2021-03-30,AstraZeneca,Europa
113,1376939546491940868,https://twitter.com/hermanjakobi/status/1376939546491940868,hermanjakobi,AstraZeneca RIP finally? #Germany,2021-03-30,AstraZeneca,Europa
114,1376938809196220421,https://twitter.com/russellschick/status/1376938809196220421,russellschick,This whole #AstraZeneca discussion is beginning to scare me ! My parents are both 60 + and it looks like nobody knows how safe it it for anybody!,2021-03-30,AstraZeneca,Europa
115,1376935515564474372,https://twitter.com/Al__ander/status/1376935515564474372,Al__ander,Astrazeneca-Zinnober 🙄,2021-03-30,AstraZeneca,Europa
116,1376934926319288327,https://twitter.com/jcvivian14/status/1376934926319288327,jcvivian14,https://t.co/fLdQVDaDA2 Berlin halts AstraZeneca vaccines for under 60s,2021-03-30,AstraZeneca,Europa
117,1376934792445325316,https://twitter.com/mehabecapital/status/1376934792445325316,mehabecapital,UPDATE - Berlin and Munich suspend AstraZeneca vaccinations for under-60s with immediate effect. Other clinics across Germany consider discontinuing the vaccine (BILD),2021-03-30,AstraZeneca,Europa
