id,permalink,username,text,date
1376875153947123713,https://twitter.com/AtlantaRodgers/status/1376875153947123713,AtlantaRodgers,Germany's vaccine regulator reports 31 cases of blood disorder after AstraZeneca shot | Article [AMP] | Reuters https://t.co/9aHrFsnLFb,2021-03-30
1376863352752762883,https://twitter.com/LouNine/status/1376863352752762883,LouNine,"Being a 40 year old female who recently had the #AstraZeneca #covid #vaccine, I’m feeling slightly anxious at the moment. With no risk factors for severe disease, when does the risk/benefit of vaccine for an individual shift?",2021-03-30
1376846911894790144,https://twitter.com/teresaaaaaaaa_a/status/1376846911894790144,teresaaaaaaaa_a,Immune response may explain rare clots after AstraZeneca vaccine https://t.co/qDXhSiBI73,2021-03-30
1376829558054211590,https://twitter.com/DBTheDivision/status/1376829558054211590,DBTheDivision,"Got my COVID vaccination, the AstraZeneca one. 24hrs post and arm is a little bit sore, a bit achy. Process was very smooth, good to be a part of the 1a phase",2021-03-30
1376825274281627649,https://twitter.com/nbnnews/status/1376825274281627649,nbnnews,"The first AstraZeneca jabs have been given to Tamworth Hospital's frontline workers. 

The rollout comes one week after the same injection was delivered to multiple GP clinics across the city.

@BellaEvansNBN https://t.co/CaYawmzfp2",2021-03-30
1376777249807081473,https://twitter.com/radioaustralia/status/1376777249807081473,radioaustralia,"PNG’s Prime Minister James Marape has become one of the first people in the country to get the COVID-19 vaccine. 

Mr Marape was injected with a dose of the AstraZeneca vaccine, one of the 8000 donated by Australia. 

#COVID19PNG #COVID19 https://t.co/ZyCqFTzqcZ",2021-03-30
1376771971883565058,https://twitter.com/RidingTheScree/status/1376771971883565058,RidingTheScree,Countries need to stop overreacting regarding the AstraZeneca vaccine. They're causing a serious public health crisis by damaging confidence in COVID vaccination.,2021-03-30
1376759048662515715,https://twitter.com/T1Bionic/status/1376759048662515715,T1Bionic,Grateful to have received dose 1 #AstraZeneca 🙏 Concerned for others still unable to access it in parts of the world where COVID is more rampant. https://t.co/ORFdv3esSi,2021-03-30
1376744845826433025,https://twitter.com/aussienproud14/status/1376744845826433025,aussienproud14,"Canada suspends use of AstraZeneca COVID vaccine for people under the age of 55
What if your 56, are you immune and don’t get blood clots???? https://t.co/MMoqx9lzID",2021-03-30
1376742227137937416,https://twitter.com/7NewsAustralia/status/1376742227137937416,7NewsAustralia,Canada has suspended the use of the Oxford-AstraZeneca coronavirus vaccine for people under age 55 following concerns it might be linked to rare blood clots. #7NEWS https://t.co/yOAdmEqe20,2021-03-30
1376741479276716033,https://twitter.com/Tim_jbo/status/1376741479276716033,Tim_jbo,"Canada urges halt in use of AstraZeneca COVID-19 vaccine in people under 55
https://t.co/SWU2rNPC4j
The preprint research looked at nine patients whose ages ranged from 22 to 49 and who had developed thrombosis, which occurs when a blood clot forms inside a blood vessel",2021-03-30
1376729629743022080,https://twitter.com/supadoms/status/1376729629743022080,supadoms,"Pfizer and moderna are 80% effective after 1 dose and 90% after the second shot. But AstraZeneca is only 76% effective after 2, J&amp;J at 66%. Someone please explain to me why it’s not better for me to just try get one shot of premium shit.",2021-03-30
1376718871218900995,https://twitter.com/nbnnews/status/1376718871218900995,nbnnews,"Tamworth Hospital’s frontline staff are starting to receive the AstraZeneca jab, as the hospital’s COVID-19 vaccination clinic swings open its doors today. @BellaEvansNBN will have the full story tonight at 6pm.

https://t.co/qpwp5Ubepd",2021-03-30
1376712431968260096,https://twitter.com/dianejph/status/1376712431968260096,dianejph,"Confusion at Melbourne's mass-vaccination hubs as GPs face shortages of AstraZeneca doses https://t.co/frHJTDuJBV
I'm eligible for the Covid 19 vaccination according to the 1b phase but it's not available! This is despite all the government rhetoric stating otherwise!",2021-03-30
1376711470180757504,https://twitter.com/wongai1968/status/1376711470180757504,wongai1968,Immune response may explain rare clots after AstraZeneca vaccine https://t.co/qwOUIheVHV,2021-03-30
1376704513877368838,https://twitter.com/radioaustralia/status/1376704513877368838,radioaustralia,"Fiji received its second tranche of COVID-19 vaccines last night with 100-thousand doses of the AstraZeneca vaccine flown into the country from India.

https://t.co/5RmWHleXtD https://t.co/NGIfgThYWt",2021-03-30
1376700799066193925,https://twitter.com/TheNewDailyAu/status/1376700799066193925,TheNewDailyAu,"Canadian health authorities have paused AstraZeneca COVID vaccinations for under 55s out of an ""abundance of caution"". 
https://t.co/i5h14qyRJ4",2021-03-30
1376668939078434816,https://twitter.com/AngelaMBarra/status/1376668939078434816,AngelaMBarra,Immune response may be linked to AstraZeneca vaccine clot issue; death risk rising among young adults in Brazil | Article [AMP] | Reuters https://t.co/sH7yATOBbo,2021-03-29
1376668614128975881,https://twitter.com/APPRISE_CRE/status/1376668614128975881,APPRISE_CRE,"Latest results put Oxford–AstraZeneca #COVIDvaccine back on track

Scientists hope near-final clinical-trial results showing 76% efficacy will quell doubts about the vaccine, after a tumultuous week.

#COVID19 #COVID19Aus
https://t.co/pykIuTiP2R",2021-03-29
1376667339672989697,https://twitter.com/fernandotweets/status/1376667339672989697,fernandotweets,"Why Canada is suspending use of AstraZeneca vaccine in people under 55
https://t.co/v7ruIbI6ba
•“Severe headache that does not go away.
•Seizure
•Difficulty moving part of your body. 
•New blurry vision that does not go away. 
•Difficulty speaking. 
•Shortness” https://t.co/3fbD8j8O17",2021-03-29
1376665005450387458,https://twitter.com/ComissionerKate/status/1376665005450387458,ComissionerKate,"Heh @abcnews @theprojecttv @9NewsAUS - all around the world, there are repeated stories of governments suspending the use of the AstraZeneca vaccine for safety concerns - and yet you say nothing. Why???? https://t.co/KBILT1yaIM",2021-03-29
1376657563920388096,https://twitter.com/niapirouz/status/1376657563920388096,niapirouz,"Health officials in Canada are suspending the rollout of AstraZeneca Plc’s Covid-19 vaccine to younger people over concerns it could lead to blood clots in rare circumstances
https://t.co/wuNJUCUfUp via @business",2021-03-29
1376652383317463046,https://twitter.com/NewsChantAus/status/1376652383317463046,NewsChantAus,Canada pauses AstraZeneca vaccine for under 55s https://t.co/KeZXfrSMgC,2021-03-29
1376631904456302598,https://twitter.com/Sash_Shere/status/1376631904456302598,Sash_Shere,Suspending AstraZeneca vaccine for people under 55 after so many have gotten it. That’s interesting 🤔,2021-03-29
1376622094033780736,https://twitter.com/nQaba_L/status/1376622094033780736,nQaba_L,Astra Zeneca needs to admit it’s the common denominator in all these ugly breakups then work on itself https://t.co/ZJl3GrH2zU,2021-03-29
1376610323319332867,https://twitter.com/TR76News/status/1376610323319332867,TR76News,Canada Suspends AstraZeneca Vaccine for People Under 55 Following Reports of Blood Clots - Breaking #News from #Infowars!!  https://t.co/0xQCYY0RJo,2021-03-29
1376610321784168450,https://twitter.com/TR76News/status/1376610321784168450,TR76News,Canada Suspends AstraZeneca Vaccine for People Under 55 Following Reports of Blood Clots - Breaking #News from #Infowars!!  https://t.co/VerhZbS5Yf,2021-03-29
1376593999956434946,https://twitter.com/JamaicaObserver/status/1376593999956434946,JamaicaObserver,"Canada’s National Advisory Committee on Immunization is recommending a pause on AstraZeneca #COVID19 vaccinations for people under 55 for safety reasons.
https://t.co/spmbt2xwL7",2021-03-29
1376587350101401607,https://twitter.com/AUNewsToday/status/1376587350101401607,AUNewsToday,"Residents evacuated after fire, AstraZeneca vaccine rollout continues in Europe | 9 News Australia
[ad_1]Latest... https://t.co/fkM64HpPOW",2021-03-29
1376530895222542340,https://twitter.com/JamaicaObserver/status/1376530895222542340,JamaicaObserver,"There has been a strong take-up of the #AstraZeneca COVID-19 vaccine by senior citizens 75 years and older in this south-central parish. 
#Vaccinated #VaccinateJa 
https://t.co/RIgiEHUB6a",2021-03-29
1376486157001883651,https://twitter.com/dreylago/status/1376486157001883651,dreylago,Should I be worried about the Oxford-AstraZeneca vaccine and blood clots? https://t.co/Gyjp6nrgfP a través de @thehealthilyapp,2021-03-29
1376455336647790594,https://twitter.com/nbnnews/status/1376455336647790594,nbnnews,"The COVID vaccine rollout is underway on the Central Coast - with a new clinic opening at Erina. 

It aims to provide more than 1,500 Astra Zeneca jabs each week. 

@SkaieHull https://t.co/2BcWXASyPZ",2021-03-29
1376370474905571329,https://twitter.com/napwha/status/1376370474905571329,napwha,🎬WATCH: Dr John Rule @drjsrule speaking with Prof Sharon Lewin (Director @TheDohertyInst) on the vaccine roll-out that has commenced. This video focuses on the Astra-Zeneca vaccine &amp; answers some concerns about whether it protects from COVID-19 variants. https://t.co/WGfQawPB3W,2021-03-29
1376294279375695872,https://twitter.com/datos_digital/status/1376294279375695872,datos_digital,Nasal Spray Of Covid Vaccine May Be Next: Oxford Reportedly To Test AstraZeneca Version : #analytics #googleads #facebookads https://t.co/t9h4WnZAi4,2021-03-28
1376218043962040322,https://twitter.com/JamaicaObserver/status/1376218043962040322,JamaicaObserver,"The Ministry of Health and Wellness says the first dose of the AstraZeneca vaccine was administered to 612 people over 75 years old during its vaccine blitz at the National Arena yesterday.
https://t.co/RlWjavvFmC",2021-03-28
1376183446410780673,https://twitter.com/isntitnick/status/1376183446410780673,isntitnick,WHAT TO EXPECT AFTER TAKING ASTRAZENECA  COVID19 VACCINE/POSSIBLE SIDE E... https://t.co/eOKX1ZPIL4 via @YouTube,2021-03-28
1375941685675495428,https://twitter.com/CEMA65/status/1375941685675495428,CEMA65,#LatePost: First Shot Done 🙂 #VaccinateBahamas #COVID19 #AstraZeneca 🇧🇸 https://t.co/TO7tX7Nw0G,2021-03-27
1375332254478704642,https://twitter.com/CitizensRage/status/1375332254478704642,CitizensRage,Venezuela won't accept AstraZeneca vaccine through Covax https://t.co/ThJIzV5Yss via @JamaicaObserver,2021-03-26
1375071880302956548,https://twitter.com/andyliburd/status/1375071880302956548,andyliburd,Watching nervously the challenges in moving AstraZeneca vaccines across the world with thousands vaccinated in 🇦🇬. The clock is ticking.,2021-03-25
1374845347021918209,https://twitter.com/maninja2/status/1374845347021918209,maninja2,India delays big exports of AstraZeneca vaccine as Covid-19 cases surge: Report | Hindustan Times https://t.co/SV7N1Lu5W4,2021-03-24
1374713298340478976,https://twitter.com/euanrellie/status/1374713298340478976,euanrellie,"Oddly this article seems to ignore the fact that 20 million people have been vaccinated with the AstraZeneca vaccine, with outstanding success, largely eradicating Covid in the UK. Real world results on a big scale. https://t.co/jcvRdqvHnj",2021-03-24
1374559420085112833,https://twitter.com/_vantiii/status/1374559420085112833,_vantiii,Astra Zeneca always in the headlines. Patiently waiting to go Turks to get the Pfizer.,2021-03-24
1374455317606453250,https://twitter.com/CitizensRage/status/1374455317606453250,CitizensRage,US health officials question AstraZeneca trial results,2021-03-23
1374356070576091141,https://twitter.com/gebrey/status/1374356070576091141,gebrey,AstraZeneca released an interim analysis of their AZD1222 vaccine in a Phase III US trial. The data showed the AZD1222 vaccine had 79% efficacy at preventing symptomatic COVID-19; 100% efficacy against severe or critical disease and hospitalization. #AstraZeneca #COVID19,2021-03-23
1374341524016799745,https://twitter.com/euanrellie/status/1374341524016799745,euanrellie,"I'm not a vaccine expert, but it's pretty clear that the @AstraZeneca jab is safe and effective. 20 million real world case studies prove it. https://t.co/Sn5n0vkQhj",2021-03-23
1374316672979505155,https://twitter.com/BarbadosToday/status/1374316672979505155,BarbadosToday,"It's issue 6 of COVID Weekly! There has been much discussion surrounding whether the AstraZeneca vaccine is safe. We sit down with Dr Elizabeth Ferdinand to find out more. Catch this story and much more in our newest edition! 

Read more here: https://t.co/mR9FfDkChh https://t.co/HSOQTRidCD",2021-03-23
1374226070371729410,https://twitter.com/euanrellie/status/1374226070371729410,euanrellie,"20 million people in the UK and the European Union, as well as Iceland, Liechtenstein and Norway, have received AstraZeneca's vaccine",2021-03-23
1374113807023357955,https://twitter.com/GHiggins18/status/1374113807023357955,GHiggins18,US data shows AstraZeneca vaccine effective for all adults https://t.co/uTAtIJ5Ks7 via @JamaicaStar,2021-03-22
1374066587846778885,https://twitter.com/euanrellie/status/1374066587846778885,euanrellie,Analysts cheer ‘surprisingly positive’ AstraZeneca U.S. trial data https://t.co/oty7Aac1bi,2021-03-22
1374022697391378439,https://twitter.com/Firefly_Power/status/1374022697391378439,Firefly_Power,"In trial, AstraZeneca 100% effective against severe cases, no raised clot risk https://t.co/JKFD9ItxAU via @timesofisrael",2021-03-22
1373992575888150532,https://twitter.com/maninja2/status/1373992575888150532,maninja2,AstraZeneca’s Covid-19 vaccine shows better-than-expected efficacy in U.S. trial https://t.co/rRgcs56auE via @statnews,2021-03-22
1373973462801387521,https://twitter.com/DrewOnline/status/1373973462801387521,DrewOnline,AstraZeneca’s Covid-19 Vaccine Is Found to Be 79% Effective in U.S. Study https://t.co/wIhZXZCGDv 🙄🧐🧐🧐,2021-03-22
1373348827172864001,https://twitter.com/CitizensRage/status/1373348827172864001,CitizensRage,European Union Threatens To Ban AstraZeneca Vaccine Exports - NDTV https://t.co/9mlmUGuyOk,2021-03-20
1372748058707030018,https://twitter.com/SorayaCastroLL/status/1372748058707030018,SorayaCastroLL,"U.S. to share 4 million doses of AstraZeneca COVID-19 vaccine with Mexico, Canada | Article [AMP] | Reuters https://t.co/4jyGQ5bDQx - -Cuidando fronteras- ""Ensuring our neighbors can contain the virus is ... mission critical to ending the pandemic."" @BebetoDice",2021-03-19
1371477584400289792,https://twitter.com/jmoulfrancis/status/1371477584400289792,jmoulfrancis,COVID-19: Germany suspends Oxford-AstraZeneca coronavirus vaccine amid blood clot concerns https://t.co/iJGHCF7Pq2,2021-03-15
1368976806200676353,https://twitter.com/CaribbeanBuoy/status/1368976806200676353,CaribbeanBuoy,Antiguans rushing to make sure their 2nd vac does is AstraZeneca and not Sinovac... https://t.co/HDoIOf060Z,2021-03-08
1368500860704206848,https://twitter.com/CaribbeanBuoy/status/1368500860704206848,CaribbeanBuoy,I can report that dehydration is a side effect of the AstraZeneca vac.,2021-03-07
1367438428871282688,https://twitter.com/SexBookGanza/status/1367438428871282688,SexBookGanza,"AstraZeneca vaccine update: Mild but steady headache, joint pain &amp; chills. So it’s kind of like symptoms from a hangover. 👌🏿",2021-03-04
